mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,contrast_1_mean,contrast_2_mean,contrast_3_mean,contrast_4_mean,contrast_5_mean,contrast_6_mean,contrast_7_mean,spec_centroid_mean,spec_bandwidth_mean,spec_rolloff_mean,zcr_mean,rms_mean,tempo,genre
-223.15216,79.31999,117.18154,27.045012,-21.146364,19.67763,67.94427,16.20481,12.048739,18.635641,18.279863,16.058418,10.678172,15.47222,8.832773,10.764483,-2.213066,11.120819,11.23689,7.68891,1.5102987,7.9421663,1.0375717,8.396319,-9.584014,5.5573335,-10.161176,12.629489,-8.307792,5.9260035,0.2269892,0.17129382,0.20032729,0.23861195,0.5146772,0.5913418,0.44096854,0.5749274,0.35666165,0.2245688,0.1270651,0.16167375,24.896650219027396,18.85842716566759,22.40861730766376,24.12709315237055,22.588467191173283,21.71241820600954,32.120949343354624,1521.8102163495073,1662.4235434711234,3215.901066706731,0.0706317608173077,0.09743171,75.99954044117646,blues
-25.189308,31.012838,96.703094,12.8168955,-18.323029,11.884104,62.390507,10.861143,-10.199469,13.568426,21.793299,7.0891743,-18.551641,8.78253,15.1716585,6.5793157,-17.00033,7.4129267,13.20185,6.1791945,-11.213145,5.6139755,13.700947,5.5877566,-10.857587,6.4929886,8.187246,6.1176105,-7.5917773,6.8280215,0.39413625,0.45668676,0.31470597,0.48287922,0.23815264,0.21266644,0.22261399,0.3140935,0.3064675,0.2604489,0.5556327,0.37381732,18.92568282103865,16.21518596266385,20.47323655725056,19.78212700251949,19.767965217583427,19.25372786240765,41.71682602233517,2260.1708050379384,2248.730478750866,4821.946739783654,0.1122032752403846,0.2544885,151.99908088235293,blues
-47.892918,34.02764,98.19998,16.275066,-11.941329,17.148422,37.986893,13.847389,-2.7949202,17.363241,24.617899,10.983387,-23.612572,10.641837,20.348276,7.4780393,-25.503916,10.043208,12.329229,7.90298,-13.739609,9.874925,9.959564,6.8109336,-4.320416,9.063144,6.75672,6.017466,-3.926344,6.565222,0.3066925,0.3127469,0.31696346,0.4327065,0.35817012,0.3297038,0.31626222,0.35508975,0.2692747,0.2738844,0.46417648,0.32105693,16.45143235882338,16.164511619480955,20.451392656544844,19.57013241668576,19.72803854706356,17.949260027706053,43.12994841677404,2290.175470459564,2374.009677832904,5087.21923828125,0.1033841646634615,0.2209066,107.666015625,blues
-115.272835,41.957558,92.08137,26.025236,-9.658441,12.995252,50.049316,11.5196295,-25.6574,14.6798935,28.271654,10.941152,-23.351706,14.621336,17.693205,7.25115,-16.249441,8.060139,7.504315,7.4707856,-17.196192,7.747584,14.200406,9.5766,-11.623686,7.700227,10.011034,7.780948,-2.5537636,8.728448,0.42492437,0.2874182,0.31614432,0.28616884,0.47875765,0.4956577,0.34658372,0.33497947,0.3637494,0.5436078,0.45987004,0.41188982,23.99445127466249,14.132202893605507,19.668590174294103,19.67985754220925,20.541906760652047,20.15763571060049,41.80026174366346,2516.187884260781,2317.19603278645,5200.020094651442,0.1359525240384615,0.11316063,80.74951171875,blues
-115.177864,39.546577,92.41107,19.308256,-4.6322274,19.497187,56.282257,11.805763,-6.4925566,12.559043,41.147297,6.3700066,-6.750739,9.138726,28.732267,7.8904657,-17.766949,7.996783,15.597969,10.906595,-16.544325,7.1077642,13.377572,8.214726,-4.8219557,5.42827,4.900814,6.628793,-17.542522,5.385499,0.24908677,0.27534813,0.41438606,0.5933522,0.3330015,0.2623116,0.30957302,0.3856233,0.49554256,0.47039625,0.4757794,0.31448752,19.70004053430352,13.409662398904436,18.09755747743849,18.10066888149481,18.225859325148885,17.52163842532029,41.33053081051001,2322.961696875796,2458.1692907989463,5312.738131009615,0.0877967247596153,0.1252559,123.046875,blues
-105.116394,29.796122,102.07044,13.490708,-21.851301,13.521721,55.33756,9.616983,-33.798443,10.120263,17.78535,10.31987,-11.418949,9.785564,13.610223,9.1451645,-7.711128,11.380654,15.206874,7.096806,-12.407277,7.6394773,6.982842,6.0385337,-22.425928,6.668634,0.58516216,6.599682,-11.617073,7.414155,0.15338989,0.17811142,0.27785614,0.29650623,0.49418575,0.5852647,0.33356723,0.46998635,0.2590303,0.36367217,0.18991713,0.19553453,22.771039098614374,15.584210797402976,20.667245599788597,21.213809195911264,19.7275578173438,21.484860209614663,38.96190182112065,2162.437692340546,2102.403195749061,4480.811110276442,0.1103703425480769,0.13042304,80.74951171875,blues
-155.75745,40.40192,108.83772,19.179852,-15.360703,14.821718,51.008625,11.595912,-22.638863,10.467898,24.02548,10.043965,-12.967155,9.339425,20.938633,8.047719,-16.75283,6.8280644,5.9624023,7.5268216,-11.651985,9.150287,4.392547,6.965781,-19.56142,7.3399434,5.551908,7.746231,-7.936113,8.0515175,0.61856985,0.45075753,0.42303813,0.3614606,0.29191092,0.46014327,0.3070237,0.26919347,0.33282766,0.36069772,0.368572,0.3370943,24.99923335765448,15.300820025726823,18.16190367606587,20.575805569444444,20.923009409218512,20.899403040532093,38.74389211023856,1955.232567544602,2114.8733904826563,4348.216271033654,0.0915715144230769,0.08823659,112.34714673913044,blues
-56.423813,30.094692,127.45756,15.207988,-41.259712,12.215863,65.95664,6.618904,-0.36426815,8.709305,10.072998,10.647101,-20.76659,6.8752265,16.32565,7.5033016,-8.836575,5.7895503,14.7054405,6.4689484,-9.842105,5.0766535,11.368076,5.9702787,-19.902126,6.102119,1.8699632,5.657152,-5.577312,6.6601996,0.26653403,0.3237924,0.42633328,0.57479346,0.52304506,0.403479,0.3275408,0.45568368,0.54892313,0.33096418,0.31124485,0.35793656,22.701671864610084,14.56162131358967,17.25016695833746,17.550586778369826,17.73646372318659,18.71341979855404,39.476932398813005,1784.2269980192957,1784.0781808805823,3461.876502403846,0.0964205228365384,0.2030058,99.38401442307692,blues
-186.91434,45.85582,144.29074,29.898127,10.760314,21.269245,37.494537,15.919073,7.338914,17.124334,18.565977,17.896004,-9.757067,13.221208,17.032053,11.451223,-14.322533,10.8682375,3.7791328,11.730723,-7.4309196,11.501227,-1.1037737,9.029222,3.298301,9.120212,-6.428388,8.175172,-1.6228652,9.17516,0.45565838,0.4016596,0.36569834,0.2416356,0.26209584,0.2300006,0.33990613,0.5365852,0.21732341,0.20863543,0.26678044,0.34744596,20.227248123767787,17.00409827262957,22.60871668774515,21.63473575781069,20.639609958376138,20.87421148615713,36.53393112643924,1225.9419622731923,1664.2699774631035,2349.106820913461,0.0458984375,0.1367165,143.5546875,blues
-218.5735,40.145756,129.13322,24.766247,13.930351,24.165085,53.589535,10.592057,10.774731,7.721595,18.441128,11.983469,-6.047057,6.5320406,6.66532,7.3715463,-22.25383,8.562496,13.215237,13.553619,-7.631711,10.1167755,-2.0032692,6.7487226,-4.907373,6.191095,7.908918,6.393773,-3.3249888,4.6145444,0.12387061,0.12571144,0.12918843,0.08439895,0.10539432,0.20094223,0.1304272,0.13769345,0.21736857,0.37697855,0.8534298,0.45619464,16.611284801305388,20.4140998350274,21.480029498681688,18.071365264407216,19.09186402645064,18.9908307151967,34.52575474830992,1210.6941821651117,1779.2588691383653,2357.8857421875,0.042364032451923,0.12607548,215.33203125,blues
